database_name	PGN_Ecoli_Bsubtilis
database_version	1.0
0	C40H66N8O22	PGNDB176
0	C35H55N7O26P2	PGNDB177
0	C43H75N15O17	PGNDB178
0	C43H74N14O18	PGNDB179
0	C43H73N13O19	PGNDB180
0	C43H72N12O20	PGNDB181
0	C44H75N11O22	PGNDB182
0	C44H74N10O23	PGNDB183
0	C44H73N9O24	PGNDB184
0	C38H60N8O27P2	PGNDB185
0	C40H65N9O26P2	PGNDB186
0	C47H79N11O24	PGNDB187
0	C41H65N9O28P2	PGNDB188
0	C51H87N17O21	PGNDB189
0	C51H86N16O22	PGNDB190
0	C51H85N15O23	PGNDB191
0	C51H84N14O24	PGNDB192
0	C52H87N13O26	PGNDB193
0	C52H86N12O27	PGNDB194
0	C52H85N11O28	PGNDB195
0	C54H92N18O22	PGNDB196
0	C54H91N17O23	PGNDB197
0	C54H90N16O24	PGNDB198
0	C54H89N15O25	PGNDB199
0	C55H92N14O27	PGNDB200
0	C55H91N13O28	PGNDB201
0	C55H90N12O29	PGNDB202
0	C55H93N13O28	PGNDB203
0	C55H92N12O29	PGNDB204
0	C55H91N11O30	PGNDB205
0	C57H97N19O23	PGNDB206
0	C57H96N18O24	PGNDB207
0	C56H91N9O33	PGNDB208
0	C57H95N17O25	PGNDB209
0	C57H94N16O26	PGNDB210
0	C57H92N6O37	PGNDB211
0	C63H104N14O33	PGNDB212
0	C63H103N13O34	PGNDB213
0	C63H102N12O35	PGNDB214
0	C69H117N23O28	PGNDB215
0	C69H116N22O29	PGNDB216
0	C69H115N21O30	PGNDB217
0	C69H114N20O31	PGNDB218
0	C69H113N19O32	PGNDB219
0	C71H117N15O38	PGNDB220
0	C71H116N14O39	PGNDB221
0	C71H115N13O40	PGNDB222
0	C74H122N16O39	PGNDB223
0	C74H121N15O40	PGNDB224
0	C74H120N14O41	PGNDB225
0	C77H127N17O40	PGNDB226
0	C77H126N16O41	PGNDB227
0	C77H125N15O42	PGNDB228
