PGNDB100	SAIRGA (AimP-Peptid)	SMILE	InChI
PGNDB101	Dpm2-Ala3 (1*)	SMILE	InChI
PGNDB102	Dpm2-Ala3	SMILE	InChI
PGNDB103	GlcNAc-MurNAc (phos)	SMILE	InChI
PGNDB104	GlcNAc-MurNAc (phos & red)	SMILE	InChI
PGNDB105	UDP-GlcNAc	SMILE	InChI
PGNDB106	ADP-GlcNAc	SMILE	InChI
PGNDB107	Tri-Ala-Dpm**	SMILE	InChI
PGNDB108	Tri-Ala-Dpm*	SMILE	InChI
PGNDB109	Tri-Ala-Dpm	SMILE	InChI
PGNDB110	AnhMurNAc-Tri (amid)	SMILE	InChI
PGNDB111	AnhMurNAc-Tri	SMILE	InChI
PGNDB112	MurNAc-Tri (amid)	SMILE	InChI
PGNDB113	MurNAc-Tri	SMILE	InChI
PGNDB114	Dpm3-Ala2 (3*)	SMILE	InChI
PGNDB115	Dpm3-Ala2 (2*)	SMILE	InChI
PGNDB116	Tri-Lys-Arg	SMILE	InChI
PGNDB117	Dpm3-Ala2 (1*)	SMILE	InChI
PGNDB118	Dpm3-Ala2	SMILE	InChI
PGNDB119	GlcNAc-AnhMurNAc-Dipeptid (amidiert)	SMILE	InChI
PGNDB120	GlcNAc-AnhMurNAc-Dipeptid	SMILE	InChI
PGNDB121	UDP-MurNAc	SMILE	InChI
PGNDB122	Glu-mDpm-Ala-mDpm-Glu (2x amid)	SMILE	InChI
PGNDB123	Glu-mDpm-Ala-mDpm-Glu (1x amid)	SMILE	InChI
PGNDB124	Glu-mDpm-Ala-mDpm-Glu	SMILE	InChI
PGNDB125	GlcNAc-MurNAc-Dipeptid (amidiert)	SMILE	InChI
PGNDB126	GlcNAc-MurNAc-Dipeptid	SMILE	InChI
PGNDB127	ADP-MurNAc	SMILE	InChI
PGNDB128	Tetra-Ala-Dpm (2x amid)	SMILE	InChI
PGNDB129	Tetra-Ala-Dpm (1x amid)	SMILE	InChI
PGNDB130	Tetra-Ala-Dpm	SMILE	InChI
PGNDB131	AnhMurNAc-Tetra (amid)	SMILE	InChI
PGNDB132	AnhMurNAc-Tetra	SMILE	InChI
PGNDB133	MurNAc-Tetra (amidiert)	SMILE	InChI
PGNDB134	MurNAc-Tetra	SMILE	InChI
PGNDB135	MurNAc-GlcNAc-anhMurNAc	SMILE	InChI
