database_name	WTA_
database_version	1.0
0	C11H19NO8	WTADB1
0	C8H15NO6	WTADB2
0	C3H9O6P	WTADB3
0	C11H22NO11P	WTADB4
0	C6H12O6	WTADB5
0	C9H19O11P	WTADB6
0	C6H12O5	WTADB7
0	C9H19O10P	WTADB8
0	PO4H3	WTADB9
0	P2O9H10C3	WTADB10
0	PO9H16C8N	WTADB11
0	C5H13O8P	WTADB12
0	C11H23O13P	WTADB13
0	C13H26NO13P	WTADB14
0	C3H8O3	WTADB15
0	P2O9H10C3	WTADB16
0	PO8H15C6	WTADB17
